src_dogri,tgt_english
कुड़ी कुत्थे ऐ,where is the girl
गौ बड्‌डी ऐ,the cow is big
अस अंग्रेजी पढ़ादे आं,we teach english
राम बुलबुल गी तुपदा ऐ,ram is looking for bulbul
बड्डेंदा सदा मान करना चाहिदा,we should honor our elders
कमल प्याजी रंग दा है,the lotus is pink in color
मैं पानी पी रहा आं,i am drinking water
राम दूसरी जमाता च पढ़दा ऐ,ram studies in second grade
ओ कमल दी कापी ऐ,this notebook belongs to komal
उंदी गड्डी काली ऐ,their doll is black
खिलौने गी जिसलै चाब्बी लाओ ढोल बजांदा,whenever you wind up the toy it plays the drums
ओ जागत तख्तपोश पर बैठे दा,that boy is sitting on the bed
बाह्र जा,go outside
दादी गी औषध पिय्ये चैन पेआ,grandmother got relief after taking medicine
ञ्याने खिंनू कन्ने खेला दे,the children are playing with the ball
मेरा कुत्ता काला ऐ,my dog is black
खिंनू गी कमरे दे अंदर मत सुटो,do not throw the ball in the room
क्या तुस उन आई सकदे ओ,can you come now
कताब पगड़ा,give me the book
ओ सड़क पर खड़ोते दा ऐ,he is standing on the road
तारे लिशकदे न,the stars are shining
अस्सी खाना खा रहे आं,we are eating food
कुत्ता भौंकदा ऐ,the dog barks
तू के चाना ऐ,what do you want
मैं थका होया आं,i am tired
राम बजार जाग,ram will go to the market
मैं खिंनू गी ठुडा मारया,i kicked the ball with my foot
हवा मंदी चलदी ऐ,the wind is blowing lightly
तेरा नां के ऐ,what is your name
उसदी घड़ी चलदी ऐ,his clock is working
राधू खूबसूरत ऐ,radhu is beautiful
तू त्यार ऐ,are you ready
कमल मेरा जमाती है,kamal is my classmate
सीता बड़ी शैल ए,sita is nice
डूर सैल्ले खॉओ,eat the green grapes
तू खुश कैंलीं ऐ,why are you happy
निक्का जया खिंनू बड़ी जोरे कन्ने बजया,the small ball hit with a lot of force
दवारा कर,try again
मैं मंगलवार मोतियें दी गान्नी पान्नी आं,i will wear a pearkl necklace on tuesday
ञ्याने स्कूल जा रहे ने,the children are going to school
मेरे कोल चार बूट न,i have four boots
नदी डूंगी ऐ,the river is deep
ओ बछैन नीली ऐ,that sheet is blue
खिंनू मंजी थल्लै डिगेआ,the ball fell under the bed
ऊ कुड़ी कौन ऐ,who is that girl
सीता असेंगी बी पढ़ांदी ऐ,sita even teaches us
सूहा बछैन फड़,hold the red sheet
ओ घर जा रही ऐ,she is going home
ओ बाजार जा रही ऐ,she is going to the market
मैं आज क्लासे च गेदी ही,i went to the class today
मेरी कुड़ी बड़े दा आदर करदी ऐ,my girl respects elders
खिंनू थल्ले पेदा,the ball is lying on the ground
मेरी भैन शैल ऐ,my sister is nice
ओ पानी पीया दी ऐ,she is drinking water
तू मी फोन कित्ता,did you call me
मी निक्की नेई बड्‌डी गइडी लेईदो,i do not want a small car i want a big car
सीता दी कोठी बागै कोल ऐ,the house of sita is near the garden
सीता चौथी जमाते च पढ़दी ऐ,sita studies in fourth grade
मेरी क्लास च दस बच्चे न,my class has 10 students
मुड़ा खेला दा,the boy is playing
टोल्लो बुट्टे पर तेजी कन्ने चड़ी गया,the monkey climbed the tree quickly
खिंनू उपर मिट्टी पेई गई,the ball got dirt on it
मेरे कोल आ,come to me
तेरा ना शैल ऐ,your name is nice
दादी तरकाले गरम फुल्के बनांदी ऐ,grandmother makes chapatis in the evening
क्या तुस मीगी बलागे,will you call me
कां काला ऐ,the crow is black
कमीज़ दा रंग सूहा ऐ,the color of the shirt is red
नई सड़क बनदी ऐ,a new road is being made
तोते दे गल लाल गान्नी ऐ,the parrot has a red necklace
के औया,what happened
साड़ा कुत्ता घाबरी गया,our dog got nervous
तू कुत्थे जा दा,where are you going
खिंनू कंधा कने बजया,the ball hit the wall
सप्प दिखीयै रामू नस्सेआ,seeing the snake ramu ran away
तेरा घर कुत्थे ऐ,where is your house
कुत्ता खिंनू दे पीछे दौड़या,the dog ran after the ball
कुड़ी घर जा दी ऐ,girl is going home
कुत्ता सुत्ते दा ऐ,the dog is sleeping
गड्डी सड़क पर चलदी ऐ,the car runs on the road
निक्के ञ्याने कमरे च खेला दे,the small children are playing in the room
बछैन मैले हे,the sheets are dirty
ओ काम कर रहा ऐ,he is working
माता दा आदर कर,respect your mother
तू कदूं औगा,when will you come
पानी नीला ऐ,water is blue
कोयल काली ओंदी ऐ,the cuckoo is black in color
तुस आवादियाँ,are you coming
ऐतबार स्कूलै छुट्टी ऐ,the school is closed on sunday
बुहारी गंदी ऐ,the broom is dirty
ओ खाना खा रही ऐ,she is eating food
ञ्याने टोल्लो उपर बड़े हस्से,the children laughed at the monkeys
ऐह मेरी पीली कताब ऐ,this is my yellow book
सप्प काला ऐ,snake is black
मैं किताब पढ़ रहा आं,i am reading a book
पूरी क्लास ने बड़े ध्यान कन्ने पढ्या,the entire class listened carefully
मैं खुश आं,i am happy
दादू ऐतबार औषध लैन गेआ,grand father went to get medicine on sunday
खिंनू कुत्थे ए,where is the ball
गौ निक्की ऐ,the cow is small
मेरी गुड़िया दे कन्न बड़े तेज न,my doll has sharp ears
कुड़ी गाना गा दी ऐ,the girl is singing a song
खिंनू पानी पर तेरा दा,the ball is floating on the water
मेरी गल्ल सुन,listen to me
नुक दा रंग सैल्ला ऐ,the sandal is green in color
चोरै की गी पनछानो,identify the thief
ओ खाना बना रही ऐ,she is cooking food
मुड़ा चिट्ठी लिखदा ऐ,the boy is writing a letter
मेरा रपेआ दे,return my one ruppee
ओ के करा दे न,what are they doing
क्लास च आज नवा पढ़ाया,a new lesson was taught in the class today
ओ के ऐ,what is that
पिच्छे मुड़,turn back
सोमवार बज़ार बंद ऐ,the market is closed on monday
ओ स्कूल जा रही ऐ,she is going to school
मैं के करां,what should i do
सड़क कुत्थे जा दी ऐ,where does this road go
मेरी कुड़ी सदा सच्च बोलदी ऐ,my girl always speaks truth
ओ मुड़ा कुत्थे ऐ,where is that boy
बिल्ली काली ऐ,the cat is black
ओ घर जा रहा ऐ,he is going home
उन्हें किन्ना चेर लाना,how long did they take
बिल्ली म्यांऊ करदी ऐ,the cat meows
तुस जा दिआँ,are you leaving
मीं पीला झोला लेईदो,buy a yellow bag for me
तू कुत्थे रौना ओह्ना,where do you live
किश चिर मत हिल,do not move for a while
मैं कुत्थे जा दा,where am i going
टोल्लो मिकी गाना सुनांदा,the monkey is singing to me
तेज दौड़,run fast
ओ दुखी ऐ,she is sad
ओ पानी पी रहा ऐ,he is drinking water
फल ताज़ा ऐ,the fruit is fresh
ओ मीं दे,give me that
यश औग,yash will come
असेंगी हमेशा सच्च बोलना चाहिदा,we should always speak truth
दपैह्री ठंडा पानी पीने दा मजा आंदा ऐ,It feels great to have cold water in the afternoon
अस रलियै पढ़ने आं,we study together
सड़क पार करो,cross the road
चिड़ीमार दी कमीज़ नीली ऐ,the hunter shirt is blue
ओ कुड़ी रूट्टी खा रही ऐ,the girl is eating food
गुरू दा हमेशा मान करना चाहिदा,we should always honor our teachers
सूरज चमकदा ऐ,the sun shines
दीदी खीर खा करदी ऐ,sister is eating rice pudding
पानी संजोई रक्खो,save the water
अस्सी काम कर रहे आं,we are working
इद्दर बेई जा,sit here
मुंडा तेज ऐ,the boy is smart
इथे आओ,come here
मंजी थल्लै कुत्ता बैठे दा,the dog is sitting under the bed
मैं कताब लैन शैह्र जाना,i will go to the city to buy books
चकोरै गी झटपट छोड़ो,leave the partridge immediately
बच्चे चिड़ियाघर गए ते टोल्लो दिक्खे,the children went to the zoo and saw the monkeys
राम सूहा पीले फलूस लेइयै आया,ram bought red yellow balloons
क्लास च आज बड़ा मजा आया,we enjoyed in the class today
ऐह मेरी कताब ऐ,this is my book
मेहनत करने कन्नै हमेशा सफलता मिलदी ए,hard work always leads to success
चिढु चुर-चुर करदा ऐ,the bird is chirping
कुड़ी स्कूल जा दी ऐ,the girl is going to school
पीली कमीज मंजे उप्पर पैदी ऐ,the yellow shirt is placed on the bed
ऐह सड़क जम्मू जा दी ऐ,this road goes to jammu
कुड़ी दौड़ा दी ऐ,the girl is running
खिंनू चुको ते मेरे कोल ले आओ,pick the ball and bring it to me
तूं कुत्थें रौंदा ऐ,where do you live
तूं बौत शैल ऐं,you are very nice
तौले-तौले पौड़ी चढ़,quickly climb the stairs
खिंनू बड़ा लशकारा मारा दा,the ball is shining
सड़क बड़ी लम्बी ऐ,the road is very long
पानी गलास च ऐ,water is in the glass
कल मै मेलै गेया हा,yesterday i went to the fare
ञ्याने घर जा रहे ने,the children are going home
ए पढ़,read this
कुन आवदा,who is coming
सिद्दे चल,move forward
सीता क्लासे च रुट्टी खा दी ही,sita was eating food in the class today
घर जा,go home
ञ्याने पानी पी रहे ने,the children are drinking water
माता पिता दी शान हमेशा उच्ची करनी चाहिदी,we should keep our parents honor high
टोल्लो केले खा दा,the monkey is eating banana
अमर कसरत करग,amar will exercise
इक बस आई ऐ,one bus has come
चल मेलै चलचै,come lets go to the fare
कुड़ी घाबरी गई,the girl got nervous
लाल गाजर खा,eat the red carrot
अपने कपड़े उसी दे,give your clothes to her
मिगी डोगरी आउंदी ऐ,i know dogri
चाह गरम ऐ,the tea is hot
टोल्लो ने सिर पर नारियल सुटया,the monkey threw a coconut at our head
मीगी सादा पानी देओ,give me a plain water
ओ सारे कुत्थे न,where are they
पानी ठण्डा ऐ,the water is cold
माता-पिता दा आखा मनना चाहिदा,we should listen to our parents
ओ पानी पीया दा ऐ,he is drinking water
ए लेख लिख,write me
दिन लम्बा ऐ,the day is long
तू अपना कम्म पूरा कित्ता,did you finish your work
ऐह केला पिलपिला हा,this banana is soft
ऐह कुड़ी दी कताब ऐ,this book belongs to the girl
सब्जी सैल्ली ऐ,the vegetable is green
तुस पानी पी रहे ओ,are you drinking water
रोटी गरम ऐ,the food is hot
बुड्ढा बीमार ऐ,the old man is sick
आसमान नीला ऐ,the sky is blue
ए लै,take this
तुस सत्ते सबेल्ले खेडना शुरु ओइगे,you started playing early
गुरू ज्ञान दी खान होन्दी ए,the teacher is a treasure of knowledge
कमल घर औग,kamal will come home
सड़क पर मत चलो,do not walk on the road
चाचू गी खीर चखा,let uncle taste the pudding
मेरे कोल सैल्ला झोला ऐ,i have a green bag
ञ्याने किताब पढ़ रहे ने,the children are reading books
मैले कपड़े तुआर,remove your dirty clothes
टोल्लो बड़ी तेजी कन्ने नस्सी गया,the monkey ran away very fast
अस्सी बाजार जा रहे आं,we are going to the market
घर साफ ऐ,the house is clean
ओ त्यार न,are they ready
ञ्याने बड़े सवाल पुछे,the children asked a lot of questions
बागे च किन्ने शैल नज़ारे न,the view in the garden is very nice
खड़े हो जाओ,stand up
चिड़ीमार घाबरी गया,the hunter is nervous
पानी आन,bring water
ऑऊ ठीक आ,i am fine
क्लासे च बच्चें ने बड़े स्वाल पुछे,the students asked many questions today
टोल्लो दूरा दा अस्सेंगी दिखादा,the monkey is watching us from a distance
असेंगी हमेशा मेहनत करनी चाहिदी,we should always work hard
असमान साफ ऐ,the sky is clear
सावधान ओह्ई जा,be careful
सादा जीवन जीयो,live a simple life
मेरा ना राम ऐ,my name is ram
पानी साफ नहीं ऐ,the water is not clean
सप्प दी अक्ख नई ओंदी,the snake does not have eye
क्या तुस मेरी मदद करगे,will you help me
पानी गरम करो,heat the water
ओ जागत बड़ा शरमौकल निकलेआ,the boy turned out to be shy
ऐह मेरी नीली कापी ऐ,this is my blue notebook
तू ठीक ऐ,are you okay
डूर बड़े मिट्ठे न,the grapes are very sweet
अंब मीठा ऐ,the mango is sweet
डूर बड़े मलैम न,the grapes are very soft
बौली दा पानी शैल ऐ (do kol),the water in the bowl is nice
सीता अक्खी कन्ने शारे करदी ऐ,sita is signalling with her eyes
कुत्ता बौंह् बौंह् करा दा ऐ,the dog is barking
खूबसूरत कुड़ी आई ऐ,a beautiful girl has come
ओ खुश ऐ,he is happy
मुड़ा स्कूलै च ऐ,the boy is in the school
क्लास सबेरे शुरू ओंदी ऐ,the class starts in the morning
खत पढ़,read the letter
हुनें शुरू कर,start now
उंदी गल्ल सच्ची ऐ,their words are true
कुड़ी सुंदर ऐ,the girl is beautiful
ओ पीली बस दूर ऐ,that yellow bus is far away
बैठ जाओ,sit behind
राम जम्मू जाग,ram will go to jammu
असेंगी आपू च नि लड़ना चाइदा,we should not fight with each other
छब्बी जनवरी आले दिन स्कूल छुट्टी ऐ,the school is closed on twenty sixth january
रानी गी रोको,stop rani
थोड़ा पानी देओ,give some water
तुन्दा के मतलब ऐ,what do you mean
ऐह मेरी कापी ऐ,this is my notebook
उने खिंनू अपने दोस्त के दे उपर सुट्टया,he threw the ball at his friend
चन्न ठंडा ऐ,the moon is cold
टोल्लो ने सारी क्लासे गी हसाया,the monkey made the entire class laugh
तौले आ,come quickly
हुन जा,go now
वाह्‌च आ,come later
मुड़ा चा पीया दा ऐ,the boy is drinking tea
उने खिंनू पकड़या,he caught the ball
तूगी चेर की लगया,why are you late
झोला धोवो,clean your bag
आम्ब बड़े पीले न,the mangoes are very yellow
तुस की रोआ दे,why are you crying
तू दुखी कैंलीं ऐ,why are you sad
मैं बीरबार तरकालां मिट्ठा बनानियां,i make desert on wednesday evening
सूहा सैल्ला पीला फलूस लेइयै आओ,bring red green and yellow ballons
दरवाजा बंद कर,close the door
गड्डी काली ए,the car is black in color
दिन चढ़ा करदा ऐ,the day is rising
मधु सुहा तै सैल्ला फल चुनदी ऐ,madhu is choosing red and green fruit
मुड़ा सुत्ता दा ऐ,the boy is sleeping
जम्मू शैल ऐ,jammu is nice
उने मैच खेड़ते खेड़ते खिंनू गमाई ओडया,he lost the ball while playing the game
ञ्याने खेल रहे ने,the children are playing
कुत्ता दौड़दा ऐ,the dog is running
ओ खाना खा रहा ऐ,he is eating food
आओ पढ़ाई करचै,come lets study
मीं बल्गी जा,wait for me
ऐह बड्डा कुत्ता ऐ,this is a big dog
पूरी क्लास ने कम्म कीत्ता,the entire class completed the work
घर आं,come back to home
नौकरै चौल ताले (do pakaye),the servant cooked the rice
मेरा घर बड्डा ऐ,my house is big
बलगी जा,wait
पापा मी इक गइडी लेईदो,dad buy me a car
तुस कदूं जा करदे ओ,when are you leaving
मुड़े गी सदो,call the boy
मीं बला,call me
माला गल पा,wear the nacklace in your neck
ताजा पानी भरो,fill fresh water
टोल्लो नदी के कंडे बैठा हा,the monkey is sitting by the side of the river
तू कदुं आया,when did you come
सिर मत मल,do not rub your head
कुत्ते कोला डरो,beware of the dog
क्या तुस मीगी दिक्खी सकदे ओ,can you see me
ओ किताब पढ़ रही ऐ,she is reading a book
तू समझेआ,did you understand
मैं टोल्लो बजार दिखया,i saw the monkey in the market
अस स्कूल खेडढनेऑं कन्ने पढ़ाई करने आं,we both play and study at school
मेरी मदाद कर,help me
गरम पानी पी,drink warm water
भानु गी किश हुनर सखा,teach some talent to bhanu
पूरी क्लासे च अज्ज टोल्लो दी गे गल्लां चलीयां,the entire class discussed monkeys today
मैं कुलचा खाना,i want to eat burger
तू कौन ऐ,who are you
चौल बोइले दे न,the rice is boiled
मैं कम कर रहा आं,i am working
कुक्कड़ी दिन भर दाना चुगदी रौंह्दी,the hen pecks at grains all day
विमला बजारा आई,vimla returned from the market
खिंनू की रुकी गया,why did the ball stop
मास्टरनी ने क्लासे च टोल्लो दी फोटो दस्सी,the teacher showed a picture of the monkey
पानी ठंडा ऐ,the water is cold
मेरी दादी हर मंगलवार बड़लै जोत जलांदी ऐ,my grand mother lights a lamp every tuesday
तू कुत्थे गेदा हा,where did you go
ओ बाजार जा रहा ऐ,he is going to the market
मुड़ा रौंदा ऐ,the boy is crying
के तुस मीगी ऐ सूहा खिंनू देई सकदे,can you give me the red ball
पानी मुक्की गेआ,the water is finished
दरवाजा खोलो,open the door
मिगी नींदर औंदी ऐ,i am feeling sleepy
हवा कन्ने खिंनू उड़ी गया,the ball flew away with the wind
सरकस च चल,lets go to circus
तू इत्थे कैल्ली ऐ,why are you here
जा,go
घवरा नीं,do not worry
ओ मुड़ा मेरा भरा ऐ,that boy is my brother
अकरम सबक पढ़ग,akram will study
ञ्याने बाहर खेल रहे ने,the children are playing outside
डोली च लाड़ी ऐ,the bride is on the palanquin
तुस कदू औगे,when will you come
ञ्याने फुटबॉल खेला दे,the children are playing football
इत्थै रुक,stop here
तुसेगीं कुन सनाया,who told you
मैं बाजार जा रहा आं,i am going to the market
अस आए,we came
तुस स्कूल कदों जाओगे,when will you go to school
मेरी भैन पैह्ली जमाते च पढ़दी ऐ,my sister studies in first class
सत्ते सबेल्ले रोट्टी खाइयै सेई जाओ,eat your food early and go to sleep
झील नीली लभदी ऐ,the lake is looking blue
बागै च तोता बोलदा ऐ,the parrot is talking in the garden
रेला दे शीशे काले ऐ,the train window is black
अजय खबर पढ़,ajay read the news
लकाफा काला ऐ,the bag is black
अस सबक चेतै करा करने आं,we are learning the lesson
दरवाजा बंद करो,close the door
टोल्लो इक टाली परा दूई टाली पर छाल मारा दा,the monkey is jumping from one branch to another
क्लासे च मैडम आई गई,the teacher came to the class
मेरी कुक्कड़ी दा रंग सूहा है,the color of my hen is red
सड़क तंग ऐ,the road is narrow
पीली बछैन शैल ऐ,that yellow sheet is beautiful
हवा बड़ी तेज चला दी,the wind is blowing very fast
बल्ले बोल,speak slowly
टोल्लो अपना सर खुरकादा,the monkey is scratching his head
ऐ बैर शैल न,these jujube are nice
सगले च इन्ना पानी कुत्थुआं आया,from where did this much water come
सीता गाना सुनाग,sita will sing a song
मेरे कन्ने आ,come with me
अस कल मिलगे,we will meet tomorrow
राम गी ठुआल,wake ram up
उने खिंनू सूहा रंगा दा लीता,he bought a red ball
डाक्टर बनियै मैं दादी दी खंग चकानी,i want to become a doctor to cure cough of my grandmother
पीला खिन्नू मेरा ऐ,yellow ball is mine
घडी दिनें राती चलदी रौंह्दी,the clock keeps running day and night
मेरी गुड़िया रानी अक्ख मटकांदी ऐ,my doll winks
मीं दस,show me
सड़क साफ़ ऐ,the road is clean
मम्मी टोल्लो लैना,mom i want a monkey
मैं दुखी आं,i am sad
खलोई आ,stand up
अस्सी पानी पी रहे आं,we are drinking water
चिड़ीमार जंगल गेआ,hunter is in the forest
तेरा कम्म ठीक ऐ,your work is correct
खिंनू मंजी दे थल्ले फसी गया,the ball got stuck under the bed
अस्सी स्कूल जा रहे आं,we are going to school
तारे झिलमिल झिलमिल करादेन,the stars are twinkling
साफ बोल,speak clearly
मीं सना,tell me
तुस की अस्सा दे,why are you laughing
रीता मेरी भैन ऐ,rita is my sister
क्या तुस मीगी सुनी सकदे ओ,can you hear me
चुप करियै बौ,stay quiet
उथे जाओ,go there
ऊ मुड़ा कौन ऐ,who is that boy
ओ पानी पी रही ऐ,she is drinking water
बल्लै-बल्लै चल,walk slowly
कुत्ता बाहर ऐ,the dog is outside
इधर दिख,look here
दुकान खुल्ली ऐ,the shop is open
बुलबुले फटन लग्गे न,the bubbles are bursting
ओह्दा कुत्ता कित्थै ऐ,where is his dog
तू के करा दा,what are you doing
सुशमा तुगी मुरकी पुआग,sushma will put nosepin on you
मेरा मन खुश ऐ,i am feeling happy
बारी दा शीशा पज्जि गेदा,the window glass is broken
ओ कुड़ी कुत्थे ऐ,where is that girl
तुस खाना खा रहे ओ,are you eating food
दुद्ध चिट्टा ऐ,the milk is white
राम खत लिखदा ऐ,ram is writing a letter
उधर दिख,look there
गौं दौड़दी-दौड़दी औग,the cow will come running
मेरा दिल साफ ऐ,my heart is clear
अंदर आ,come inside
सीता आज क्लास च लेट आई,sita was late to the class today
अज्ज मंगलबार ऐ,today is tuesday
उंदे कोल किताब ऐ,they have the book
बापू हट्टी औषध लैन गेआ,papa went to pharmacy to get medicine
उनेंगी साद्दा देओ,invite them
असेंगी बड्डें दा सदा आदर करना चाहिदा,we should always respect elders
सीता मेरी भैन ऐ,sita is my sister
ओ गुस्से में ऐ,he is angry
असेंगी गुरु दा आदर करना चाहिदा,we should respect our teachers
