dogri,english,type
तूगी चेर की लगया?,why are you late?,normal
अन्नी बंडै रोड़ियां मुढ़-मुढ़ घरा आह्लें गी देऐ ,people only care about their own problems,idiom
खलोई आ,stand up,normal
ओ मुड़ा कुत्थै ऐ?,where is that boy?,normal
क्या तुस मीगी सुनी सकदे ओ?,can you hear me?,normal
चनइ सत्त नेई जानना ,being completely unaware or ignorant,idiom
दिने अत्तों बहूतों रात पोआ ते चरखा कतों ,always being busy without rest,idiom
इत्थै रुक,stop here,normal
मुड़ा कदो औगा?,when will the boy come?,normal
कुन आवदा?,who is coming?,normal
सड़क बड़ी लम्बी ऐ,the road is very long,normal
पानी मुक्की गेआ,the water is finished,normal
पानी गलास च ऐ,water is in the glass,normal
मुड़े गी सदो,call the boy,normal
मीं बल्गी जा,wait for me,normal
तू कुत्थै जा दा?,where are you going?,normal
कुत्ता दौड़दा ऐ,the dog is running,normal
सद्डू नेईं सुहादी अक्ख बुड्डे दी ताड़ी ,facing trouble from both sides,idiom
रूह रड़ना ,crying deeply from the heart,idiom
मीं पीला झोला लेईदो,buy a yellow bag for me,normal
सिद्दे चल,move forward,normal
तू दुखी कैंलीं ऐ?,why are you sad?,normal
ऑऊ ठीक आ,i am fine,normal
कुत्ते गी रुट्टी पाओ,feed the dog,normal
अन्नी पीहै कुत्ती लक्कै ,wasteful effort where the worker gets nothing,idiom
उन्हें किन्ना चेर लाना?,how long did they take?,normal
बाह्र जा,go outside,normal
ओ सड़क पर खड़ोते दा ऐ,he is standing on the road,normal
क्या तुस इंतजार करगे?,will you wait?,normal
तुस आवादियाँ?,are you coming?,normal
तू समझेआ?,did you understand?,normal
तुस की अस्सा दे?,why are you laughing?,normal
उधर दिख,look there,normal
कुत्ता बाहर ऐ,the dog is outside,normal
कच्छा च पाईए छट्टूना ,taking advantage of even the smallest benefit,idiom
ओ सारे कुत्थे न?,where are they?,normal
पानी ठण्डा ऐ,the water is cold,normal
अन्नें च काना राजा ,a figure among ciphers,idiom
क्या तुस मेरी मदद करगे?,will you help me?,normal
मूँ कलोलां कन्ने ते घड़े च पानी नस्तै ,someone who talks big but has no substance,idiom
तू खागा?,will you eat?,normal
कुत्ता सुत्ते दा ऐ,the dog is sleeping,normal
हुनें शुरू कर,start now,normal
कुड़ी दौड़ा दी ऐ,the girl is running,normal
पानी गरम करो,heat the water,normal
चंगे मरोड़े लगन ,enjoying the drama or talk of others,idiom
घड़े दी दा पतीला मुश्क रोना ,crying excessively over a small thing,idiom
समझा अक्ख मुकना ,to be very arrogant or proud,idiom
थिट्टु तेरेडना ,doing no work at all,idiom
मैं के करां?,what should i do?,normal
आपे नई बसै सोरे ते ओरे की मता देवे,someone who does not act but gives advice,idiom
खंडन नेई कर पर अक्खें बड़ी चनार ,big talk but no actual work,idiom
लुक्कां चढ़ना ,provoking or instigating others,idiom
अंदर आ,come inside,normal
आई कुड़ी दी जंज ते बिंदो कुड़ी दा कन्न,taking advantage of an opportunity,idiom
मुँह लगना ,to argue or debate,idiom
क्या तुस मीगी बलागे?,will you call me?,normal
मीं बला,call me,normal
मैं कुत्थे जा दा?,where am i going?,normal
तू कुत्थै रौना ओह्ना?,where do you live?,normal
इत्थै गै खड़ो,stay here,normal
तेरा नां के ऐ?,what is your name?,normal
ए किन्ना ए?,how much is this?,normal
मुड़ा खेला दा,the boy is playing,normal
सड़क पर मत चलो,do not walk on the road,normal
लौग दी खुरक होना ,having the urge to fight or argue,idiom
कुड़ी कुत्थै ऐ?,where is the girl?,normal
मां की नई उजड़ा क्यो ते कुड़ी ना थिंदी,blaming someone without any reason,idiom
ऐह कुड़ी दी कताब ऐ,this book belongs to the girl,normal
बाह्दी सुन्ना ,reaching forty years of age,idiom
बलगी जा,wait,normal
साफ बोल,speak clearly,normal
नँगी बोक के ते नंगोड़ा के ,beating someone severely,idiom
बल्ले बोल,speak slowly,normal
तौले आ,come quickly,normal
ओ पानी पीया दी ऐ,she is drinking water,normal
मुँह न कुन्नियां ,refusing to speak a word,idiom
मुड़ा चिट्ठी लिखदा ऐ,the boy is writing a letter,normal
कुत्ते कोला डरो,beware of the dog,normal
पानी संजोई रक्खो,save the water,normal
कुड़ी कम्म करा दी ऐ,the girl is working,normal
थोड़ा पानी देओ,give some water,normal
तुंदा केह् ना ऐ?,what is your name?,normal
तेज दौड़,run fast,normal
साँ करोड कुत्थै दा बत्ता नेई खाना सुत्तै दा ,a workaholic who has no time to eat,idiom
तू खुश कैंलीं ऐ?,why are you happy?,normal
घवरा नीं,don't worry,normal
इक्क अनार सौ बमार ,huge demand for a very limited resource,idiom
ताजा पानी भरो,fill fresh water,normal
हटदी रेष रहना सुह् नोटें दा थब्बा केड़ा हत्थ,money does not stay or last,idiom
पैर मुट्ठा नेईं धोना ,maintaining no cleanliness at all,idiom
मीं सना,tell me,normal
मेरी मदाद कर,help me,normal
ए के ऐ?,what is this?,normal
घर आओ सधार अग्गें थौड़ी पकड़ाईए ,welcoming a guest properly,idiom
तुसेगीं कुन सनाया?,who told you?,normal
घर जा,go home,normal
मुड़ा पीला फल खा दा ऐ,the boy is eating yellow fruit,normal
ऐह सड़क जम्मू जा दी ऐ,this road goes to jammu,normal
वाह्‌च आ,come later,normal
मेरा कुत्ता काला ऐ,my dog is black,normal
गड्डी सड़क पर चलदी ऐ,the car runs on the road,normal
सड़क तंग ऐ,the road is narrow,normal
कुड़ी स्कूल जा दी ऐ,the girl is going to school,normal
सड़क कुत्थै जा दी ऐ?,where does this road go?,normal
ओपें मोए बगैर सरग नेईं दिखदा ,no success without personal hard work,idiom
मुड़ा रौंदा ऐ,the boy is crying,normal
ओ मीं दे,give me that,normal
सुई गी नकला औज़ार बदना ,making a huge demand for a small thing,idiom
कुत्तुं डोली दी फग्ग सवारे दे ,giving a job to the wrong person,idiom
जा,go,normal
रब्ब तिड़ भ्वै ते कब्बै भी गस्ता,god is everywhere,idiom
टहें को ते सजा दा कोई ईलाज नेई ,certain habits have no cure,idiom
एक कनई कोड़ी कोई अन्ना ते कोई कोड़ी ,everyone has a different value,idiom
झारे ने वसारवी चूची रेई घर दी राखी,trusting the wrong person,idiom
मेरा ना राम ऐ,my name is ram,normal
तू त्यार ऐ?,are you ready?,normal
अपनी अक्ख बगाना डेल्ला ,your own things are seen as precious but another persons things are treated like trash,idiom
अक्खीं होलै परदेश ,out of sight out of mind,idiom
तुस की रोआ दे?,why are you crying?,normal
तू इत्थे कैल्ली ऐ?,why are you here?,normal
पिच्छे मुड़,turn back,normal
सड़क गी ठीक करो,fix the road,normal
मेरी गल्ल सुन,listen to me,normal
मुँह न लाड़ना ,ignoring someone or refusing to speak,idiom
तू कदुं आया?,when did you come?,normal
तुस कदूं जा करदे ओ?,when are you leaving?,normal
जुई जन्नु ते जिन्नो कुड़ी दे कन्न ,something very delicate,idiom
आपूं फिरै नंगी ते सुत्थन देऐ मंगी ,useless people are of no help to anyone,idiom
सत्तर बहत्तरा ,reaching seventy or seventy two years of age,idiom
बिल्ली म्यांऊ करदी ऐ,the cat meows ,normal
क्या तुस उन आई सकदे ओ?,can you come now?,normal
तुस जा दिआँ?,are you leaving?,normal
कुड़ी घाबरी गई,the girl got nervous,normal
मेरे कन्ने आ,come with me,normal
तुन्दा के मतलब ऐ?,what do you mean?,normal
ओ त्यार न?,are they ready?,normal
तुंदा केह् हाल ऐ?,how are you?,normal
तेरा के हाल ऐ?,how are you?,normal
ओ के ऐ?,what is that?,normal
निक्की कुड़ी खेला दी ऐ,little girl is playing,normal
ओह् दिन डुब्बा जदूं घोड़ी चढ़ेआ कुब्बा,no hope should be placed in useless people,idiom
ओ मुड़ा मेरा भरा ऐ,that boy is my brother,normal
पानी आन,bring water,normal
मेरे कोल आ,come to me,normal
ओ कुड़ी मेरी सहेली ऐ,that girl is my friend,normal
मुँडे तेल पालना ,flattering or buttering someone up,idiom
चुप करियै बौ,stay quiet,normal
ए लै,take this,normal
ओ के करादे न?,what are they doing?,normal
ए लेख लिख,write me,normal
के औया?,what happened?,normal
